sido_code,sigungu_code,emd_code,week_type,velocity_AVRG_NRMLT,시도,시군구
11,11170,1117052,weekday,42.91,서울특별시,구로구
11,11100,1110061,weekday,39.26,서울특별시,도봉구
11,11200,1120052,weekday,50.6,서울특별시,동작구
11,11120,1112068,weekday,41.1,서울특별시,은평구
11,11180,1118060,weekday,38.17,서울특별시,금천구
11,11170,1117055,weekday,37.73,서울특별시,구로구
11,11040,1104057,weekday,38.49,서울특별시,성동구
11,11090,1109061,weekday,34.93,서울특별시,강북구
11,11220,1122068,weekday,52.01,서울특별시,서초구
11,11130,1113064,weekday,52.15,서울특별시,서대문구
11,11160,1116059,weekday,54.67,서울특별시,강서구
11,11250,1125067,weekday,43.51,서울특별시,강동구
11,11250,1125059,weekday,60.92,서울특별시,강동구
11,11210,1121054,weekday,42.16,서울특별시,관악구
11,11200,1120066,weekday,43.29,서울특별시,동작구
11,11240,1124067,weekday,39.37,서울특별시,송파구
11,11150,1115061,weekday,43.12,서울특별시,양천구
11,11060,1106072,weekday,51.05,서울특별시,동대문구
11,11070,1107073,weekday,43.76,서울특별시,중랑구
11,11240,1124060,weekday,40.43,서울특별시,송파구
11,11220,1122059,weekday,47.68,서울특별시,서초구
11,11140,1114071,weekday,40.31,서울특별시,마포구
11,11120,1112052,weekday,38.99,서울특별시,은평구
11,11110,1111066,weekday,39.89,서울특별시,노원구
11,11110,1111051,weekday,37.32,서울특별시,노원구
11,11250,1125055,weekday,38.07,서울특별시,강동구
11,11180,1118057,weekday,52.06,서울특별시,금천구
11,11210,1121078,weekday,44.2,서울특별시,관악구
11,11130,1113076,weekday,49.08,서울특별시,서대문구
11,11240,1124077,weekday,58.12,서울특별시,송파구
11,11250,1125053,weekday,37.96,서울특별시,강동구
11,11240,1124069,weekday,51.36,서울특별시,송파구
11,11160,1116067,weekday,46.18,서울특별시,강서구
11,11090,1109071,weekday,42.25,서울특별시,강북구
11,11160,1116063,weekday,40.44,서울특별시,강서구
11,11010,1101072,weekday,39.23,서울특별시,종로구
11,11010,1101069,weekday,42.63,서울특별시,종로구
11,11150,1115069,weekday,40.47,서울특별시,양천구
11,11110,1111065,weekday,56.83,서울특별시,노원구
11,11120,1112051,weekday,40.22,서울특별시,은평구
11,11060,1106080,weekday,44.56,서울특별시,동대문구
11,11120,1112059,weekday,41.52,서울특별시,은평구
11,11070,1107070,weekday,37.96,서울특별시,중랑구
11,11200,1120055,weekday,50.89,서울특별시,동작구
11,11240,1124051,weekday,63.83,서울특별시,송파구
11,11030,1103063,weekday,48.92,서울특별시,용산구
11,11080,1108083,weekday,38.83,서울특별시,성북구
11,11040,1104072,weekday,37.4,서울특별시,성동구
11,11210,1121069,weekday,42.32,서울특별시,관악구
11,11230,1123080,weekday,49.09,서울특별시,강남구
11,11200,1120072,weekday,47.34,서울특별시,동작구
11,11210,1121073,weekday,43.86,서울특별시,관악구
11,11120,1112056,weekday,47.97,서울특별시,은평구
11,11110,1111060,weekday,40.55,서울특별시,노원구
11,11210,1121066,weekday,62.96,서울특별시,관악구
11,11010,1101060,weekday,33.24,서울특별시,종로구
11,11220,1122064,weekday,43.61,서울특별시,서초구
11,11220,1122062,weekday,38.94,서울특별시,서초구
11,11030,1103071,weekday,38.79,서울특별시,용산구
11,11230,1123065,weekday,41.22,서울특별시,강남구
11,11170,1117051,weekday,47.11,서울특별시,구로구
11,11220,1122058,weekday,46.7,서울특별시,서초구
11,11040,1104059,weekday,38.19,서울특별시,성동구
11,11010,1101063,weekday,42.28,서울특별시,종로구
11,11220,1122063,weekday,48.66,서울특별시,서초구
11,11150,1115072,weekday,43.82,서울특별시,양천구
11,11230,1123074,weekday,54.39,서울특별시,강남구
11,11190,1119056,weekday,49.07,서울특별시,영등포구
11,11250,1125052,weekday,39.12,서울특별시,강동구
11,11020,1102069,weekday,38.15,서울특별시,중구
11,11090,1109075,weekday,39.9,서울특별시,강북구
11,11040,1104055,weekday,52.46,서울특별시,성동구
11,11180,1118051,weekday,43.87,서울특별시,금천구
11,11230,1123066,weekday,40.97,서울특별시,강남구
11,11100,1110060,weekday,39.12,서울특별시,도봉구
11,11080,1108082,weekday,35.85,서울특별시,성북구
11,11220,1122054,weekday,45.18,서울특별시,서초구
11,11090,1109065,weekday,38.72,서울특별시,강북구
11,11190,1119066,weekday,39.07,서울특별시,영등포구
11,11240,1124052,weekday,49.08,서울특별시,송파구
11,11210,1121065,weekday,35.54,서울특별시,관악구
11,11240,1124057,weekday,43.18,서울특별시,송파구
11,11070,1107061,weekday,48.1,서울특별시,중랑구
11,11210,1121058,weekday,41.88,서울특별시,관악구
11,11170,1117072,weekday,45.68,서울특별시,구로구
11,11130,1113072,weekday,37.48,서울특별시,서대문구
11,11090,1109070,weekday,44.38,서울특별시,강북구
11,11230,1123076,weekday,43.38,서울특별시,강남구
11,11100,1110054,weekday,38.16,서울특별시,도봉구
11,11240,1124075,weekday,41.57,서울특별시,송파구
11,11110,1111056,weekday,39.17,서울특별시,노원구
11,11070,1107054,weekday,42.6,서울특별시,중랑구
11,11080,1108072,weekday,42.83,서울특별시,성북구
11,11120,1112058,weekday,45.0,서울특별시,은평구
11,11070,1107065,weekday,47.77,서울특별시,중랑구
11,11180,1118052,weekday,45.23,서울특별시,금천구
11,11190,1119067,weekday,41.31,서울특별시,영등포구
11,11210,1121062,weekday,47.44,서울특별시,관악구
11,11110,1111052,weekday,37.11,서울특별시,노원구
11,11240,1124059,weekday,41.79,서울특별시,송파구
11,11130,1113070,weekday,36.4,서울특별시,서대문구
11,11190,1119070,weekday,38.49,서울특별시,영등포구
11,11250,1125073,weekday,50.83,서울특별시,강동구
11,11160,1116057,weekday,52.26,서울특별시,강서구
11,11040,1104058,weekday,45.39,서울특별시,성동구
11,11190,1119062,weekday,59.07,서울특별시,영등포구
11,11230,1123058,weekday,57.66,서울특별시,강남구
11,11220,1122057,weekday,48.18,서울특별시,서초구
11,11210,1121081,weekday,43.38,서울특별시,관악구
11,11050,1105054,weekday,48.72,서울특별시,광진구
11,11090,1109069,weekday,40.49,서울특별시,강북구
11,11250,1125071,weekday,40.83,서울특별시,강동구
11,11020,1102054,weekday,38.55,서울특별시,중구
11,11050,1105063,weekday,50.8,서울특별시,광진구
11,11250,1125058,weekday,61.03,서울특별시,강동구
11,11210,1121080,weekday,41.15,서울특별시,관악구
11,11110,1111077,weekday,48.94,서울특별시,노원구
11,11100,1110055,weekday,38.69,서울특별시,도봉구
11,11010,1101070,weekday,47.35,서울특별시,종로구
11,11190,1119076,weekday,42.25,서울특별시,영등포구
11,11170,1117062,weekday,36.56,서울특별시,구로구
11,11040,1104066,weekday,51.07,서울특별시,성동구
11,11010,1101058,weekday,41.48,서울특별시,종로구
11,11200,1120054,weekday,38.08,서울특별시,동작구
11,11200,1120068,weekday,38.42,서울특별시,동작구
11,11050,1105060,weekday,54.03,서울특별시,광진구
11,11190,1119065,weekday,44.08,서울특별시,영등포구
