sido_code,sigungu_code,emd_code,week_type,FRIN_CG,시도,시군구
11,11110,1111079,weekday,62.28,서울특별시,노원구
11,11150,1115061,weekday,47.6,서울특별시,양천구
11,11110,1111076,weekday,43.11,서울특별시,노원구
11,11030,1103074,weekday,39.03,서울특별시,용산구
11,11240,1124068,weekday,72.64,서울특별시,송파구
11,11090,1109063,weekday,38.85,서울특별시,강북구
11,11060,1106071,weekday,63.43,서울특별시,동대문구
11,11140,1114077,weekday,60.31,서울특별시,마포구
11,11140,1114069,weekday,87.78,서울특별시,마포구
11,11120,1112057,weekday,56.13,서울특별시,은평구
11,11090,1109074,weekday,47.83,서울특별시,강북구
11,11230,1123060,weekday,31.72,서울특별시,강남구
11,11040,1104067,weekday,77.76,서울특별시,성동구
11,11210,1121065,weekday,47.92,서울특별시,관악구
11,11140,1114076,weekday,67.1,서울특별시,마포구
11,11240,1124052,weekday,41.21,서울특별시,송파구
11,11050,1105066,weekday,64.16,서울특별시,광진구
11,11150,1115070,weekday,46.42,서울특별시,양천구
11,11120,1112074,weekday,74.16,서울특별시,은평구
11,11050,1105059,weekday,42.42,서울특별시,광진구
11,11240,1124051,weekday,71.32,서울특별시,송파구
11,11040,1104068,weekday,56.64,서울특별시,성동구
11,11150,1115062,weekday,34.46,서울특별시,양천구
11,11080,1108082,weekday,52.97,서울특별시,성북구
11,11240,1124066,weekday,33.75,서울특별시,송파구
11,11240,1124061,weekday,82.52,서울특별시,송파구
11,11090,1109075,weekday,66.75,서울특별시,강북구
11,11060,1106088,weekday,31.54,서울특별시,동대문구
11,11030,1103053,weekday,41.01,서울특별시,용산구
11,11210,1121069,weekday,33.06,서울특별시,관악구
11,11080,1108076,weekday,64.29,서울특별시,성북구
11,11020,1102069,weekday,57.44,서울특별시,중구
11,11070,1107057,weekday,41.85,서울특별시,중랑구
11,11070,1107069,weekday,61.01,서울특별시,중랑구
11,11030,1103071,weekday,42.4,서울특별시,용산구
11,11010,1101067,weekday,93.34,서울특별시,종로구
11,11010,1101069,weekday,37.54,서울특별시,종로구
11,11090,1109062,weekday,34.6,서울특별시,강북구
11,11130,1113073,weekday,63.76,서울특별시,서대문구
11,11170,1117051,weekday,75.66,서울특별시,구로구
11,11230,1123080,weekday,66.73,서울특별시,강남구
11,11190,1119069,weekday,30.12,서울특별시,영등포구
11,11100,1110052,weekday,61.76,서울특별시,도봉구
11,11160,1116051,weekday,69.67,서울특별시,강서구
11,11010,1101063,weekday,73.97,서울특별시,종로구
11,11080,1108083,weekday,44.51,서울특별시,성북구
11,11220,1122060,weekday,43.42,서울특별시,서초구
11,11230,1123053,weekday,40.55,서울특별시,강남구
11,11140,1114070,weekday,90.02,서울특별시,마포구
11,11210,1121082,weekday,32.25,서울특별시,관악구
11,11110,1111059,weekday,81.77,서울특별시,노원구
11,11160,1116061,weekday,52.93,서울특별시,강서구
11,11160,1116070,weekday,59.76,서울특별시,강서구
11,11190,1119067,weekday,37.0,서울특별시,영등포구
11,11100,1110063,weekday,40.89,서울특별시,도봉구
11,11020,1102071,weekday,41.65,서울특별시,중구
11,11150,1115069,weekday,30.62,서울특별시,양천구
11,11200,1120054,weekday,49.78,서울특별시,동작구
11,11050,1105062,weekday,49.19,서울특별시,광진구
11,11120,1112051,weekday,34.38,서울특별시,은평구
11,11010,1101072,weekday,31.86,서울특별시,종로구
11,11160,1116063,weekday,51.74,서울특별시,강서구
11,11150,1115053,weekday,44.7,서울특별시,양천구
11,11080,1108078,weekday,36.24,서울특별시,성북구
11,11120,1112058,weekday,52.72,서울특별시,은평구
11,11170,1117064,weekday,23.22,서울특별시,구로구
11,11070,1107054,weekday,60.63,서울특별시,중랑구
11,11060,1106073,weekday,50.22,서울특별시,동대문구
11,11140,1114061,weekday,51.17,서울특별시,마포구
11,11200,1120071,weekday,69.94,서울특별시,동작구
11,11190,1119070,weekday,47.05,서울특별시,영등포구
11,11150,1115071,weekday,25.02,서울특별시,양천구
11,11150,1115052,weekday,60.44,서울특별시,양천구
11,11220,1122054,weekday,68.18,서울특별시,서초구
11,11110,1111061,weekday,45.24,서울특별시,노원구
11,11150,1115066,weekday,26.62,서울특별시,양천구
11,11010,1101071,weekday,90.99,서울특별시,종로구
11,11250,1125063,weekday,86.97,서울특별시,강동구
11,11090,1109061,weekday,44.64,서울특별시,강북구
11,11220,1122056,weekday,58.15,서울특별시,서초구
11,11040,1104052,weekday,44.16,서울특별시,성동구
11,11060,1106089,weekday,42.0,서울특별시,동대문구
11,11250,1125056,weekday,56.44,서울특별시,강동구
11,11170,1117069,weekday,40.93,서울특별시,구로구
11,11030,1103070,weekday,63.25,서울특별시,용산구
11,11080,1108072,weekday,56.38,서울특별시,성북구
11,11110,1111056,weekday,30.92,서울특별시,노원구
11,11170,1117067,weekday,89.93,서울특별시,구로구
11,11120,1112052,weekday,42.89,서울특별시,은평구
11,11240,1124075,weekday,34.59,서울특별시,송파구
11,11220,1122057,weekday,55.24,서울특별시,서초구
11,11190,1119055,weekday,42.01,서울특별시,영등포구
11,11240,1124056,weekday,42.47,서울특별시,송파구
11,11230,1123072,weekday,46.62,서울특별시,강남구
11,11170,1117062,weekday,54.94,서울특별시,구로구
11,11220,1122066,weekday,57.97,서울특별시,서초구
11,11070,1107070,weekday,51.81,서울특별시,중랑구
11,11230,1123078,weekday,70.45,서울특별시,강남구
11,11150,1115065,weekday,38.93,서울특별시,양천구
11,11130,1113064,weekday,65.05,서울특별시,서대문구
11,11200,1120066,weekday,60.38,서울특별시,동작구
11,11190,1119063,weekday,25.26,서울특별시,영등포구
11,11060,1106084,weekday,26.63,서울특별시,동대문구
11,11250,1125051,weekday,70.71,서울특별시,강동구
11,11060,1106091,weekday,30.08,서울특별시,동대문구
11,11010,1101053,weekday,84.42,서울특별시,종로구
11,11160,1116066,weekday,41.95,서울특별시,강서구
11,11020,1102058,weekday,29.36,서울특별시,중구
11,11090,1109069,weekday,39.71,서울특별시,강북구
11,11250,1125054,weekday,54.25,서울특별시,강동구
11,11100,1110055,weekday,44.21,서울특별시,도봉구
11,11240,1124064,weekday,25.33,서울특별시,송파구
11,11050,1105055,weekday,72.47,서울특별시,광진구
11,11140,1114078,weekday,92.3,서울특별시,마포구
11,11250,1125066,weekday,52.16,서울특별시,강동구
11,11040,1104073,weekday,38.62,서울특별시,성동구
11,11130,1113070,weekday,63.55,서울특별시,서대문구
11,11130,1113066,weekday,49.34,서울특별시,서대문구
11,11030,1103052,weekday,28.8,서울특별시,용산구
11,11040,1104058,weekday,27.96,서울특별시,성동구
11,11040,1104059,weekday,47.68,서울특별시,성동구
11,11200,1120053,weekday,35.44,서울특별시,동작구
11,11240,1124062,weekday,44.64,서울특별시,송파구
11,11120,1112067,weekday,83.49,서울특별시,은평구
11,11110,1111066,weekday,52.67,서울특별시,노원구
11,11220,1122067,weekday,64.65,서울특별시,서초구
11,11160,1116055,weekday,48.59,서울특별시,강서구
11,11160,1116058,weekday,44.91,서울특별시,강서구
11,11220,1122058,weekday,48.59,서울특별시,서초구
11,11240,1124078,weekday,26.2,서울특별시,송파구
11,11020,1102067,weekday,60.07,서울특별시,중구
11,11060,1106072,weekday,72.36,서울특별시,동대문구
11,11230,1123075,weekday,64.49,서울특별시,강남구
11,11240,1124077,weekday,59.9,서울특별시,송파구
11,11210,1121054,weekday,32.54,서울특별시,관악구
11,11080,1108085,weekday,64.09,서울특별시,성북구
11,11140,1114068,weekday,83.79,서울특별시,마포구
11,11030,1103065,weekday,40.0,서울특별시,용산구
11,11250,1125059,weekday,38.84,서울특별시,강동구
11,11150,1115054,weekday,44.34,서울특별시,양천구
11,11170,1117072,weekday,58.12,서울특별시,구로구
11,11190,1119068,weekday,36.45,서울특별시,영등포구
11,11060,1106086,weekday,38.35,서울특별시,동대문구
11,11030,1103073,weekday,36.45,서울특별시,용산구
11,11080,1108065,weekday,46.71,서울특별시,성북구
11,11130,1113076,weekday,71.08,서울특별시,서대문구
11,11160,1116071,weekday,67.77,서울특별시,강서구
11,11110,1111073,weekday,71.44,서울특별시,노원구
11,11040,1104057,weekday,46.58,서울특별시,성동구
11,11080,1108060,weekday,45.5,서울특별시,성북구
11,11230,1123079,weekday,70.32,서울특별시,강남구
11,11050,1105061,weekday,90.67,서울특별시,광진구
11,11190,1119076,weekday,58.37,서울특별시,영등포구
11,11110,1111077,weekday,79.54,서울특별시,노원구
11,11140,1114075,weekday,89.67,서울특별시,마포구
11,11030,1103059,weekday,65.87,서울특별시,용산구
11,11140,1114073,weekday,62.09,서울특별시,마포구
11,11020,1102065,weekday,50.54,서울특별시,중구
11,11230,1123071,weekday,56.1,서울특별시,강남구
11,11110,1111078,weekday,60.35,서울특별시,노원구
11,11230,1123067,weekday,35.12,서울특별시,강남구
11,11220,1122065,weekday,51.3,서울특별시,서초구
11,11050,1105054,weekday,78.84,서울특별시,광진구
11,11070,1107062,weekday,69.42,서울특별시,중랑구
11,11160,1116054,weekday,68.17,서울특별시,강서구
11,11030,1103069,weekday,56.17,서울특별시,용산구
11,11110,1111064,weekday,47.07,서울특별시,노원구
11,11240,1124063,weekday,45.57,서울특별시,송파구
11,11020,1102059,weekday,44.69,서울특별시,중구
11,11190,1119073,weekday,39.5,서울특별시,영등포구
11,11250,1125058,weekday,47.42,서울특별시,강동구
11,11060,1106090,weekday,47.81,서울특별시,동대문구
11,11250,1125061,weekday,70.12,서울특별시,강동구
11,11150,1115060,weekday,26.74,서울특별시,양천구
11,11220,1122062,weekday,44.35,서울특별시,서초구
11,11140,1114066,weekday,76.66,서울특별시,마포구
11,11120,1112068,weekday,36.4,서울특별시,은평구
11,11120,1112065,weekday,72.06,서울특별시,은평구
11,11170,1117052,weekday,45.08,서울특별시,구로구
11,11210,1121068,weekday,29.85,서울특별시,관악구
11,11250,1125053,weekday,56.22,서울특별시,강동구
11,11200,1120070,weekday,52.98,서울특별시,동작구
11,11200,1120072,weekday,33.22,서울특별시,동작구
11,11210,1121073,weekday,31.9,서울특별시,관악구
11,11210,1121063,weekday,37.72,서울특별시,관악구
11,11230,1123076,weekday,45.27,서울특별시,강남구
11,11110,1111058,weekday,33.42,서울특별시,노원구
11,11210,1121066,weekday,46.0,서울특별시,관악구
11,11010,1101056,weekday,51.61,서울특별시,종로구
11,11080,1108068,weekday,58.58,서울특별시,성북구
11,11080,1108077,weekday,79.15,서울특별시,성북구
11,11250,1125072,weekday,56.32,서울특별시,강동구
11,11170,1117054,weekday,48.9,서울특별시,구로구
11,11230,1123077,weekday,56.04,서울특별시,강남구
11,11090,1109060,weekday,51.19,서울특별시,강북구
11,11200,1120056,weekday,37.87,서울특별시,동작구
11,11230,1123068,weekday,83.51,서울특별시,강남구
11,11110,1111069,weekday,54.99,서울특별시,노원구
11,11010,1101055,weekday,60.27,서울특별시,종로구
11,11010,1101073,weekday,47.69,서울특별시,종로구
11,11080,1108066,weekday,54.59,서울특별시,성북구
23,23060,2306071,weekday,52.01,인천광역시,부평구
23,23030,2303071,weekday,45.71,인천광역시,남구
23,23010,2301066,weekday,28.01,인천광역시,인천_중구
23,23040,2304057,weekday,36.81,인천광역시,연수구
23,23070,2307051,weekday,47.73,인천광역시,계양구
23,23050,2305073,weekday,36.53,인천광역시,남동구
23,23060,2306065,weekday,79.22,인천광역시,부평구
23,23010,2301063,weekday,6.6,인천광역시,인천_중구
23,23040,2304060,weekday,49.6,인천광역시,연수구
23,23050,2305055,weekday,42.89,인천광역시,남동구
23,23030,2303072,weekday,43.52,인천광역시,남구
23,23050,2305053,weekday,41.06,인천광역시,남동구
23,23060,2306070,weekday,35.77,인천광역시,부평구
23,23010,2301054,weekday,41.07,인천광역시,인천_중구
23,23030,2303056,weekday,18.99,인천광역시,남구
23,23060,2306053,weekday,31.85,인천광역시,부평구
23,23030,2303070,weekday,52.38,인천광역시,남구
23,23080,2308062,weekday,23.45,인천광역시,서구
23,23030,2303073,weekday,27.55,인천광역시,남구
23,23060,2306064,weekday,30.16,인천광역시,부평구
23,23080,2308053,weekday,22.39,인천광역시,서구
23,23020,2302058,weekday,39.08,인천광역시,동구
23,23020,2302053,weekday,82.33,인천광역시,동구
23,23010,2301053,weekday,72.87,인천광역시,인천_중구
23,23060,2306051,weekday,54.28,인천광역시,부평구
23,23060,2306069,weekday,69.24,인천광역시,부평구
23,23050,2305057,weekday,66.7,인천광역시,남동구
23,23080,2308070,weekday,20.27,인천광역시,서구
23,23050,2305067,weekday,39.47,인천광역시,남동구
23,23010,2301058,weekday,49.7,인천광역시,인천_중구
23,23040,2304059,weekday,21.48,인천광역시,연수구
23,23060,2306057,weekday,34.71,인천광역시,부평구
23,23060,2306061,weekday,40.63,인천광역시,부평구
23,23080,2308073,weekday,30.7,인천광역시,서구
23,23030,2303052,weekday,55.29,인천광역시,남구
23,23030,2303069,weekday,19.55,인천광역시,남구
23,23310,2331032,weekday,26.71,인천광역시,강화군
23,23060,2306055,weekday,51.7,인천광역시,부평구
23,23050,2305063,weekday,63.52,인천광역시,남동구
23,23070,2307058,weekday,68.31,인천광역시,계양구
23,23070,2307054,weekday,27.65,인천광역시,계양구
23,23030,2303065,weekday,67.42,인천광역시,남구
23,23310,2331039,weekday,21.71,인천광역시,강화군
23,23310,2331034,weekday,5.96,인천광역시,강화군
23,23020,2302060,weekday,34.08,인천광역시,동구
23,23310,2331037,weekday,16.54,인천광역시,강화군
23,23060,2306054,weekday,48.72,인천광역시,부평구
23,23080,2308069,weekday,20.69,인천광역시,서구
23,23060,2306058,weekday,37.54,인천광역시,부평구
23,23050,2305056,weekday,43.0,인천광역시,남동구
23,23040,2304053,weekday,34.55,인천광역시,연수구
23,23060,2306062,weekday,63.4,인천광역시,부평구
23,23020,2302063,weekday,64.08,인천광역시,동구
23,23040,2304054,weekday,33.99,인천광역시,연수구
23,23080,2308071,weekday,23.82,인천광역시,서구
23,23060,2306066,weekday,85.63,인천광역시,부평구
23,23030,2303061,weekday,44.54,인천광역시,남구
23,23030,2303054,weekday,75.23,인천광역시,남구
23,23060,2306063,weekday,39.34,인천광역시,부평구
23,23050,2305054,weekday,29.57,인천광역시,남동구
23,23310,2331038,weekday,31.71,인천광역시,강화군
23,23020,2302057,weekday,29.94,인천광역시,동구
23,23080,2308055,weekday,66.87,인천광역시,서구
23,23060,2306072,weekday,32.44,인천광역시,부평구
23,23070,2307064,weekday,59.22,인천광역시,계양구
23,23310,2331031,weekday,28.96,인천광역시,강화군
23,23070,2307057,weekday,54.08,인천광역시,계양구
