sido_code,sigungu_code,emd_code,week_type,velocity_AVRG,시도,시군구
11,11250,1125053,weekday,21.19,서울특별시,강동구
11,11240,1124069,weekday,30.03,서울특별시,송파구
11,11160,1116067,weekday,25.45,서울특별시,강서구
11,11090,1109071,weekday,22.79,서울특별시,강북구
11,11160,1116063,weekday,20.51,서울특별시,강서구
11,11010,1101072,weekday,26.25,서울특별시,종로구
11,11010,1101069,weekday,22.14,서울특별시,종로구
11,11150,1115069,weekday,22.51,서울특별시,양천구
11,11110,1111065,weekday,28.04,서울특별시,노원구
11,11120,1112051,weekday,20.49,서울특별시,은평구
11,11060,1106080,weekday,23.25,서울특별시,동대문구
11,11120,1112059,weekday,22.98,서울특별시,은평구
11,11070,1107070,weekday,21.26,서울특별시,중랑구
11,11200,1120055,weekday,17.87,서울특별시,동작구
11,11240,1124051,weekday,35.79,서울특별시,송파구
11,11030,1103063,weekday,25.12,서울특별시,용산구
11,11080,1108083,weekday,21.28,서울특별시,성북구
11,11040,1104072,weekday,17.72,서울특별시,성동구
11,11210,1121069,weekday,27.19,서울특별시,관악구
11,11230,1123080,weekday,30.42,서울특별시,강남구
11,11200,1120072,weekday,30.66,서울특별시,동작구
11,11210,1121073,weekday,20.72,서울특별시,관악구
11,11120,1112056,weekday,20.47,서울특별시,은평구
11,11110,1111060,weekday,20.13,서울특별시,노원구
11,11210,1121066,weekday,30.75,서울특별시,관악구
11,11010,1101060,weekday,19.06,서울특별시,종로구
11,11220,1122064,weekday,23.27,서울특별시,서초구
11,11220,1122062,weekday,21.92,서울특별시,서초구
11,11030,1103071,weekday,23.08,서울특별시,용산구
11,11230,1123065,weekday,23.25,서울특별시,강남구
11,11170,1117051,weekday,23.35,서울특별시,구로구
11,11220,1122058,weekday,27.39,서울특별시,서초구
11,11040,1104059,weekday,22.14,서울특별시,성동구
11,11010,1101063,weekday,18.82,서울특별시,종로구
11,11220,1122063,weekday,23.42,서울특별시,서초구
11,11150,1115072,weekday,25.36,서울특별시,양천구
11,11230,1123074,weekday,30.89,서울특별시,강남구
11,11190,1119056,weekday,29.4,서울특별시,영등포구
11,11250,1125052,weekday,25.61,서울특별시,강동구
11,11020,1102069,weekday,17.47,서울특별시,중구
11,11090,1109075,weekday,19.36,서울특별시,강북구
11,11040,1104055,weekday,29.52,서울특별시,성동구
11,11180,1118051,weekday,22.63,서울특별시,금천구
11,11230,1123066,weekday,21.73,서울특별시,강남구
11,11100,1110060,weekday,23.36,서울특별시,도봉구
11,11080,1108082,weekday,19.14,서울특별시,성북구
11,11220,1122054,weekday,22.43,서울특별시,서초구
11,11090,1109065,weekday,21.65,서울특별시,강북구
11,11190,1119066,weekday,21.78,서울특별시,영등포구
11,11240,1124052,weekday,31.53,서울특별시,송파구
11,11210,1121065,weekday,19.02,서울특별시,관악구
11,11240,1124057,weekday,27.86,서울특별시,송파구
11,11070,1107061,weekday,21.8,서울특별시,중랑구
11,11210,1121058,weekday,26.97,서울특별시,관악구
11,11170,1117072,weekday,23.67,서울특별시,구로구
11,11130,1113072,weekday,19.73,서울특별시,서대문구
11,11090,1109070,weekday,24.09,서울특별시,강북구
11,11230,1123076,weekday,26.29,서울특별시,강남구
11,11100,1110054,weekday,21.05,서울특별시,도봉구
11,11240,1124075,weekday,28.41,서울특별시,송파구
11,11110,1111056,weekday,23.24,서울특별시,노원구
11,11070,1107054,weekday,23.0,서울특별시,중랑구
11,11080,1108072,weekday,24.19,서울특별시,성북구
11,11120,1112058,weekday,22.6,서울특별시,은평구
11,11070,1107065,weekday,25.4,서울특별시,중랑구
11,11180,1118052,weekday,25.13,서울특별시,금천구
11,11190,1119067,weekday,24.75,서울특별시,영등포구
11,11210,1121062,weekday,27.38,서울특별시,관악구
11,11110,1111052,weekday,23.6,서울특별시,노원구
11,11240,1124059,weekday,24.68,서울특별시,송파구
11,11130,1113070,weekday,19.99,서울특별시,서대문구
11,11190,1119070,weekday,19.08,서울특별시,영등포구
11,11250,1125073,weekday,27.9,서울특별시,강동구
11,11160,1116057,weekday,36.34,서울특별시,강서구
11,11040,1104058,weekday,28.47,서울특별시,성동구
11,11190,1119062,weekday,30.12,서울특별시,영등포구
11,11230,1123058,weekday,26.73,서울특별시,강남구
11,11220,1122057,weekday,23.65,서울특별시,서초구
11,11210,1121081,weekday,31.73,서울특별시,관악구
11,11050,1105054,weekday,22.61,서울특별시,광진구
11,11090,1109069,weekday,23.41,서울특별시,강북구
11,11250,1125071,weekday,24.37,서울특별시,강동구
11,11020,1102054,weekday,20.21,서울특별시,중구
11,11050,1105063,weekday,29.18,서울특별시,광진구
11,11250,1125058,weekday,35.18,서울특별시,강동구
11,11210,1121080,weekday,20.27,서울특별시,관악구
11,11110,1111077,weekday,22.82,서울특별시,노원구
11,11100,1110055,weekday,23.68,서울특별시,도봉구
11,11010,1101070,weekday,23.97,서울특별시,종로구
11,11190,1119076,weekday,23.35,서울특별시,영등포구
