집계일자,콘존ID,DSRC차종유형구분코드,평균속도
20220201,0010CZS490,1,0
20220201,0010CZS490,2,70.27
20220201,0010CZS500,1,0
20220201,0010CZS500,2,0
20220201,0010CZS505,1,0
20220201,0010CZS505,2,0
20220201,0010CZS510,1,0
20220201,0010CZS510,2,0
20220201,0010CZS520,1,0
20220201,0010CZS520,2,0
20220201,0010CZS521,1,0
20220201,0010CZS521,2,0
20220201,0010CZS522,1,0
20220201,0010CZS522,2,0
20220201,0100CZE010,1,0
20220201,0100CZE010,2,0
20220201,0100CZE020,1,52.05
20220201,0100CZE020,2,0
20220201,0100CZE025,1,99.03
20220201,0100CZE025,2,86.68
20220201,0100CZE030,1,101.24
20220201,0100CZE030,2,96.76
20220201,0100CZE040,1,52.44
20220201,0100CZE040,2,0
20220201,0100CZE050,1,102.36
20220201,0100CZE050,2,74.4
20220201,0100CZE060,1,76.09
20220201,0100CZE060,2,67.41
20220201,0100CZE070,1,94.16
20220201,0100CZE070,2,84.27
20220201,0100CZE080,1,82.38
20220201,0100CZE080,2,63.47
20220201,0100CZE090,1,80.45
20220201,0100CZE090,2,66.22
20220201,0100CZE100,1,51.12
20220201,0100CZE100,2,48.94
20220201,0100CZE110,1,105.72
20220201,0100CZE110,2,98.14
20220201,0100CZE120,1,90.97
20220201,0100CZE120,2,92.23
20220201,0100CZE130,1,87.92
20220201,0100CZE130,2,92.61
20220201,0100CZE140,1,104.54
20220201,0100CZE140,2,99.77
20220201,0100CZE150,1,107.86
20220201,0100CZE150,2,103.03
20220201,0100CZE160,1,93.9
20220201,0100CZE160,2,92.68
20220201,0100CZE170,1,72.09
20220201,0100CZE170,2,77.92
20220201,0100CZE180,1,70.62
20220201,0100CZE180,2,80.5
20220201,0100CZE190,1,74.09
20220201,0100CZE190,2,74.69
20220201,0100CZE200,1,74.94
20220201,0100CZE200,2,73.22
20220201,0100CZE205,1,68.4
20220201,0100CZE205,2,68.72
20220201,0100CZE210,1,34.22
20220201,0100CZE210,2,0
20220201,0100CZE215,1,69.44
20220201,0100CZE215,2,69.47
20220201,0100CZE220,1,36.54
20220201,0100CZE220,2,0
