sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG,시도,시군구
11,11020,1102069,weekday,12.07,서울특별시,중구
11,11090,1109075,weekday,13.97,서울특별시,강북구
11,11060,1106080,weekday,16.11,서울특별시,동대문구
11,11170,1117064,weekday,14.08,서울특별시,구로구
11,11200,1120054,weekday,14.76,서울특별시,동작구
11,11120,1112059,weekday,13.68,서울특별시,은평구
11,11110,1111065,weekday,22.59,서울특별시,노원구
11,11050,1105063,weekday,21.89,서울특별시,광진구
11,11130,1113076,weekday,18.04,서울특별시,서대문구
11,11230,1123065,weekday,13.62,서울특별시,강남구
11,11250,1125053,weekday,14.2,서울특별시,강동구
11,11220,1122068,weekday,19.71,서울특별시,서초구
11,11220,1122059,weekday,17.16,서울특별시,서초구
11,11170,1117052,weekday,16.88,서울특별시,구로구
11,11170,1117055,weekday,11.82,서울특별시,구로구
11,11180,1118060,weekday,15.36,서울특별시,금천구
11,11200,1120072,weekday,16.27,서울특별시,동작구
11,11210,1121073,weekday,14.13,서울특별시,관악구
11,11120,1112068,weekday,14.59,서울특별시,은평구
11,11210,1121066,weekday,23.27,서울특별시,관악구
11,11220,1122062,weekday,14.49,서울특별시,서초구
11,11180,1118057,weekday,17.48,서울특별시,금천구
11,11210,1121078,weekday,13.44,서울특별시,관악구
11,11200,1120052,weekday,17.47,서울특별시,동작구
11,11220,1122058,weekday,16.52,서울특별시,서초구
11,11040,1104059,weekday,14.32,서울특별시,성동구
11,11150,1115072,weekday,13.93,서울특별시,양천구
11,11250,1125059,weekday,23.03,서울특별시,강동구
11,11190,1119056,weekday,17.12,서울특별시,영등포구
11,11240,1124077,weekday,20.87,서울특별시,송파구
11,11160,1116057,weekday,17.0,서울특별시,강서구
11,11060,1106072,weekday,18.27,서울특별시,동대문구
11,11240,1124069,weekday,17.44,서울특별시,송파구
11,11080,1108083,weekday,13.95,서울특별시,성북구
11,11160,1116067,weekday,14.68,서울특별시,강서구
11,11120,1112056,weekday,14.22,서울특별시,은평구
11,11110,1111066,weekday,14.07,서울특별시,노원구
11,11210,1121081,weekday,14.96,서울특별시,관악구
11,11220,1122063,weekday,15.16,서울특별시,서초구
11,11130,1113064,weekday,19.27,서울특별시,서대문구
11,11200,1120066,weekday,13.88,서울특별시,동작구
11,11080,1108082,weekday,14.35,서울특별시,성북구
11,11010,1101060,weekday,16.38,서울특별시,종로구
11,11200,1120068,weekday,15.03,서울특별시,동작구
11,11110,1111058,weekday,14.48,서울특별시,노원구
11,11080,1108072,weekday,18.11,서울특별시,성북구
11,11110,1111056,weekday,15.09,서울특별시,노원구
11,11240,1124075,weekday,14.91,서울특별시,송파구
11,11110,1111069,weekday,14.25,서울특별시,노원구
11,11060,1106090,weekday,15.83,서울특별시,동대문구
11,11180,1118051,weekday,14.89,서울특별시,금천구
11,11240,1124057,weekday,14.92,서울특별시,송파구
11,11060,1106086,weekday,13.39,서울특별시,동대문구
11,11190,1119055,weekday,12.9,서울특별시,영등포구
11,11140,1114068,weekday,28.19,서울특별시,마포구
11,11160,1116064,weekday,16.69,서울특별시,강서구
11,11150,1115066,weekday,13.97,서울특별시,양천구
11,11100,1110054,weekday,15.46,서울특별시,도봉구
11,11210,1121052,weekday,12.89,서울특별시,관악구
11,11080,1108064,weekday,19.32,서울특별시,성북구
11,11090,1109070,weekday,15.05,서울특별시,강북구
11,11150,1115071,weekday,15.01,서울특별시,양천구
11,11020,1102067,weekday,12.51,서울특별시,중구
11,11130,1113072,weekday,14.42,서울특별시,서대문구
11,11160,1116054,weekday,15.87,서울특별시,강서구
11,11220,1122053,weekday,14.03,서울특별시,서초구
11,11080,1108061,weekday,15.94,서울특별시,성북구
11,11200,1120067,weekday,16.21,서울특별시,동작구
11,11190,1119073,weekday,14.51,서울특별시,영등포구
11,11020,1102059,weekday,13.87,서울특별시,중구
11,11080,1108065,weekday,15.5,서울특별시,성북구
11,11160,1116055,weekday,13.72,서울특별시,강서구
11,11110,1111052,weekday,16.26,서울특별시,노원구
11,11160,1116058,weekday,13.7,서울특별시,강서구
11,11190,1119072,weekday,14.3,서울특별시,영등포구
11,11070,1107061,weekday,17.34,서울특별시,중랑구
11,11040,1104066,weekday,18.19,서울특별시,성동구
11,11240,1124052,weekday,19.8,서울특별시,송파구
11,11210,1121065,weekday,14.38,서울특별시,관악구
11,11110,1111060,weekday,13.28,서울특별시,노원구
11,11190,1119065,weekday,13.22,서울특별시,영등포구
11,11040,1104058,weekday,15.96,서울특별시,성동구
11,11090,1109069,weekday,15.07,서울특별시,강북구
11,11100,1110061,weekday,15.56,서울특별시,도봉구
11,11100,1110055,weekday,14.95,서울특별시,도봉구
11,11050,1105055,weekday,25.27,서울특별시,광진구
11,11250,1125067,weekday,14.64,서울특별시,강동구
11,11040,1104073,weekday,15.05,서울특별시,성동구
11,11190,1119067,weekday,14.23,서울특별시,영등포구
11,11240,1124067,weekday,14.19,서울특별시,송파구
11,11070,1107073,weekday,17.93,서울특별시,중랑구
11,11170,1117062,weekday,14.72,서울특별시,구로구
11,11040,1104055,weekday,18.56,서울특별시,성동구
11,11140,1114071,weekday,15.22,서울특별시,마포구
11,11120,1112058,weekday,13.68,서울특별시,은평구
11,11100,1110060,weekday,16.06,서울특별시,도봉구
11,11110,1111051,weekday,16.32,서울특별시,노원구
11,11190,1119070,weekday,13.37,서울특별시,영등포구
11,11230,1123074,weekday,17.81,서울특별시,강남구
11,11090,1109065,weekday,15.1,서울특별시,강북구
11,11220,1122054,weekday,14.44,서울특별시,서초구
11,11250,1125071,weekday,15.14,서울특별시,강동구
11,11230,1123076,weekday,16.88,서울특별시,강남구
11,11020,1102054,weekday,13.01,서울특별시,중구
11,11210,1121080,weekday,12.98,서울특별시,관악구
11,11210,1121058,weekday,14.45,서울특별시,관악구
11,11130,1113073,weekday,17.21,서울특별시,서대문구
11,11130,1113071,weekday,14.77,서울특별시,서대문구
11,11050,1105067,weekday,31.29,서울특별시,광진구
11,11250,1125055,weekday,15.38,서울특별시,강동구
11,11060,1106082,weekday,18.06,서울특별시,동대문구
11,11050,1105057,weekday,22.41,서울특별시,광진구
11,11050,1105060,weekday,17.26,서울특별시,광진구
11,11150,1115063,weekday,13.96,서울특별시,양천구
11,11190,1119062,weekday,23.27,서울특별시,영등포구
11,11230,1123058,weekday,18.47,서울특별시,강남구
11,11010,1101058,weekday,17.63,서울특별시,종로구
11,11210,1121071,weekday,13.47,서울특별시,관악구
11,11040,1104070,weekday,18.18,서울특별시,성동구
11,11210,1121083,weekday,14.86,서울특별시,관악구
11,11230,1123052,weekday,13.09,서울특별시,강남구
11,11250,1125073,weekday,20.06,서울특별시,강동구
11,11250,1125052,weekday,16.48,서울특별시,강동구
11,11020,1102073,weekday,15.04,서울특별시,중구
11,11210,1121062,weekday,15.13,서울특별시,관악구
11,11070,1107055,weekday,25.41,서울특별시,중랑구
11,11220,1122061,weekday,15.08,서울특별시,서초구
11,11240,1124054,weekday,14.08,서울특별시,송파구
11,11180,1118055,weekday,14.16,서울특별시,금천구
11,11230,1123066,weekday,13.3,서울특별시,강남구
11,11190,1119066,weekday,14.24,서울특별시,영등포구
11,11140,1114059,weekday,17.16,서울특별시,마포구
11,11180,1118052,weekday,15.85,서울특별시,금천구
11,11240,1124059,weekday,14.74,서울특별시,송파구
11,11240,1124060,weekday,14.39,서울특별시,송파구
11,11190,1119075,weekday,14.02,서울특별시,영등포구
11,11030,1103064,weekday,21.94,서울특별시,용산구
11,11040,1104057,weekday,13.19,서울특별시,성동구
11,11120,1112052,weekday,13.69,서울특별시,은평구
11,11220,1122057,weekday,14.97,서울특별시,서초구
11,11060,1106071,weekday,13.09,서울특별시,동대문구
11,11240,1124068,weekday,13.45,서울특별시,송파구
11,11110,1111076,weekday,15.95,서울특별시,노원구
11,11140,1114073,weekday,17.41,서울특별시,마포구
11,11120,1112071,weekday,17.31,서울특별시,은평구
11,11090,1109061,weekday,14.45,서울특별시,강북구
11,11120,1112051,weekday,13.39,서울특별시,은평구
11,11160,1116074,weekday,14.13,서울특별시,강서구
11,11070,1107070,weekday,14.65,서울특별시,중랑구
11,11240,1124055,weekday,16.6,서울특별시,송파구
11,11210,1121057,weekday,13.98,서울특별시,관악구
11,11010,1101069,weekday,13.63,서울특별시,종로구
11,11040,1104067,weekday,21.62,서울특별시,성동구
11,11010,1101063,weekday,13.47,서울특별시,종로구
11,11170,1117051,weekday,16.6,서울특별시,구로구
11,11040,1104056,weekday,14.8,서울특별시,성동구
11,11230,1123080,weekday,19.8,서울특별시,강남구
11,11040,1104069,weekday,26.79,서울특별시,성동구
11,11210,1121054,weekday,14.32,서울특별시,관악구
11,11010,1101054,weekday,16.67,서울특별시,종로구
11,11020,1102052,weekday,13.77,서울특별시,중구
11,11250,1125061,weekday,16.31,서울특별시,강동구
11,11220,1122064,weekday,12.63,서울특별시,서초구
11,11160,1116059,weekday,15.87,서울특별시,강서구
11,11090,1109064,weekday,14.05,서울특별시,강북구
11,11170,1117071,weekday,15.98,서울특별시,구로구
11,11170,1117056,weekday,14.53,서울특별시,구로구
11,11190,1119068,weekday,13.66,서울특별시,영등포구
11,11150,1115057,weekday,16.27,서울특별시,양천구
11,11110,1111073,weekday,16.27,서울특별시,노원구
11,11230,1123071,weekday,17.33,서울특별시,강남구
11,11210,1121082,weekday,24.0,서울특별시,관악구
11,11110,1111078,weekday,14.55,서울특별시,노원구
11,11070,1107060,weekday,17.46,서울특별시,중랑구
11,11240,1124063,weekday,14.72,서울특별시,송파구
11,11150,1115060,weekday,16.12,서울특별시,양천구
11,11020,1102058,weekday,14.38,서울특별시,중구
11,11200,1120070,weekday,13.52,서울특별시,동작구
11,11080,1108077,weekday,16.84,서울특별시,성북구
11,11200,1120071,weekday,18.61,서울특별시,동작구
11,11240,1124062,weekday,14.9,서울특별시,송파구
11,11100,1110052,weekday,14.02,서울특별시,도봉구
11,11150,1115053,weekday,14.32,서울특별시,양천구
11,11010,1101071,weekday,16.54,서울특별시,종로구
11,11050,1105066,weekday,17.8,서울특별시,광진구
11,11230,1123060,weekday,13.61,서울특별시,강남구
11,11140,1114076,weekday,15.57,서울특별시,마포구
11,11250,1125066,weekday,18.29,서울특별시,강동구
11,11070,1107068,weekday,15.28,서울특별시,중랑구
11,11220,1122066,weekday,20.04,서울특별시,서초구
11,11230,1123078,weekday,17.91,서울특별시,강남구
11,11110,1111061,weekday,13.01,서울특별시,노원구
11,11030,1103069,weekday,19.11,서울특별시,용산구
11,11030,1103065,weekday,14.84,서울특별시,용산구
11,11060,1106083,weekday,15.15,서울특별시,동대문구
11,11110,1111074,weekday,18.15,서울특별시,노원구
11,11120,1112073,weekday,14.29,서울특별시,은평구
11,11180,1118059,weekday,23.11,서울특별시,금천구
11,11080,1108084,weekday,17.03,서울특별시,성북구
11,11250,1125074,weekday,17.83,서울특별시,강동구
11,11070,1107052,weekday,20.17,서울특별시,중랑구
11,11170,1117070,weekday,14.35,서울특별시,구로구
11,11090,1109063,weekday,13.86,서울특별시,강북구
11,11240,1124058,weekday,14.2,서울특별시,송파구
11,11010,1101064,weekday,12.81,서울특별시,종로구
11,11130,1113075,weekday,16.58,서울특별시,서대문구
11,11240,1124071,weekday,15.37,서울특별시,송파구
11,11220,1122051,weekday,16.02,서울특별시,서초구
11,11130,1113052,weekday,17.49,서울특별시,서대문구
11,11240,1124079,weekday,21.82,서울특별시,송파구
11,11140,1114063,weekday,16.31,서울특별시,마포구
11,11210,1121064,weekday,11.98,서울특별시,관악구
11,11080,1108058,weekday,16.29,서울특별시,성북구
11,11210,1121061,weekday,12.8,서울특별시,관악구
11,11160,1116053,weekday,15.3,서울특별시,강서구
11,11240,1124082,weekday,16.33,서울특별시,송파구
11,11090,1109073,weekday,13.97,서울특별시,강북구
11,11030,1103057,weekday,17.87,서울특별시,용산구
11,11190,1119054,weekday,17.12,서울특별시,영등포구
11,11080,1108062,weekday,13.8,서울특별시,성북구
11,11150,1115064,weekday,13.88,서울특별시,양천구
11,11080,1108060,weekday,15.55,서울특별시,성북구
11,11160,1116065,weekday,22.37,서울특별시,강서구
11,11170,1117072,weekday,15.9,서울특별시,구로구
11,11150,1115051,weekday,14.87,서울특별시,양천구
11,11150,1115061,weekday,14.44,서울특별시,양천구
11,11020,1102071,weekday,14.62,서울특별시,중구
11,11080,1108078,weekday,14.01,서울특별시,성북구
11,11040,1104052,weekday,13.55,서울특별시,성동구
11,11230,1123064,weekday,12.9,서울특별시,강남구
11,11060,1106089,weekday,14.93,서울특별시,동대문구
11,11120,1112055,weekday,15.1,서울특별시,은평구
11,11020,1102060,weekday,13.51,서울특별시,중구
11,11170,1117069,weekday,15.83,서울특별시,구로구
11,11100,1110057,weekday,16.01,서울특별시,도봉구
11,11160,1116073,weekday,14.87,서울특별시,강서구
11,11140,1114070,weekday,32.96,서울특별시,마포구
11,11050,1105053,weekday,14.66,서울특별시,광진구
11,11190,1119063,weekday,16.18,서울특별시,영등포구
11,11050,1105064,weekday,13.64,서울특별시,광진구
11,11240,1124066,weekday,15.56,서울특별시,송파구
11,11190,1119071,weekday,13.73,서울특별시,영등포구
11,11030,1103058,weekday,16.06,서울특별시,용산구
11,11080,1108059,weekday,15.35,서울특별시,성북구
11,11250,1125072,weekday,14.17,서울특별시,강동구
11,11080,1108068,weekday,17.57,서울특별시,성북구
11,11210,1121068,weekday,14.26,서울특별시,관악구
11,11150,1115054,weekday,13.65,서울특별시,양천구
11,11100,1110062,weekday,14.72,서울특별시,도봉구
11,11120,1112060,weekday,14.71,서울특별시,은평구
11,11240,1124081,weekday,16.77,서울특별시,송파구
11,11070,1107059,weekday,15.76,서울특별시,중랑구
11,11010,1101056,weekday,18.45,서울특별시,종로구
11,11100,1110056,weekday,15.57,서울특별시,도봉구
11,11130,1113069,weekday,14.29,서울특별시,서대문구
11,11080,1108081,weekday,17.56,서울특별시,성북구
11,11030,1103070,weekday,21.2,서울특별시,용산구
11,11190,1119074,weekday,14.68,서울특별시,영등포구
11,11090,1109072,weekday,15.23,서울특별시,강북구
11,11220,1122056,weekday,20.14,서울특별시,서초구
11,11120,1112057,weekday,13.53,서울특별시,은평구
11,11210,1121079,weekday,14.29,서울특별시,관악구
11,11170,1117068,weekday,13.92,서울특별시,구로구
11,11030,1103066,weekday,16.21,서울특별시,용산구
11,11020,1102072,weekday,14.36,서울특별시,중구
11,11250,1125063,weekday,15.62,서울특별시,강동구
11,11250,1125056,weekday,25.08,서울특별시,강동구
11,11070,1107065,weekday,19.4,서울특별시,중랑구
11,11100,1110065,weekday,13.98,서울특별시,도봉구
