sido_code,sigungu_code,emd_code,week_type,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT,시도,시군구
11,11240,1124064,weekday,10397,8862,68,1467,서울특별시,송파구
11,11030,1103063,weekday,21011,16658,474,3880,서울특별시,용산구
11,11060,1106087,weekday,16358,12681,145,3532,서울특별시,동대문구
11,11240,1124079,weekday,22718,18358,298,4062,서울특별시,송파구
11,11160,1116066,weekday,7241,5859,40,1342,서울특별시,강서구
11,11210,1121064,weekday,9959,7714,58,2187,서울특별시,관악구
11,11180,1118058,weekday,8254,6343,50,1861,서울특별시,금천구
11,11220,1122056,weekday,33547,26867,484,6196,서울특별시,서초구
11,11170,1117070,weekday,20701,16121,146,4434,서울특별시,구로구
11,11160,1116070,weekday,5702,4589,33,1080,서울특별시,강서구
11,11020,1102059,weekday,12667,9926,74,2667,서울특별시,중구
11,11210,1121063,weekday,23033,18783,178,4072,서울특별시,관악구
11,11250,1125051,weekday,21972,17030,601,4341,서울특별시,강동구
11,11230,1123076,weekday,12135,10132,114,1889,서울특별시,강남구
11,11130,1113070,weekday,5984,4867,22,1094,서울특별시,서대문구
11,11110,1111058,weekday,7842,6390,55,1397,서울특별시,노원구
11,11150,1115052,weekday,11729,8980,90,2660,서울특별시,양천구
11,11110,1111069,weekday,5513,4625,21,867,서울특별시,노원구
11,11050,1105057,weekday,25976,20501,699,4777,서울특별시,광진구
11,11230,1123051,weekday,24855,19718,383,4755,서울특별시,강남구
11,11060,1106090,weekday,11308,8678,105,2525,서울특별시,동대문구
11,11140,1114069,weekday,28325,22388,435,5501,서울특별시,마포구
11,11060,1106086,weekday,7394,5664,52,1678,서울특별시,동대문구
11,11120,1112059,weekday,9521,7797,38,1686,서울특별시,은평구
11,11150,1115051,weekday,21166,16521,188,4458,서울특별시,양천구
11,11040,1104070,weekday,18744,14530,279,3935,서울특별시,성동구
11,11060,1106080,weekday,11718,9051,63,2604,서울특별시,동대문구
11,11210,1121083,weekday,8055,6172,49,1834,서울특별시,관악구
11,11230,1123052,weekday,16760,13651,127,2983,서울특별시,강남구
11,11140,1114068,weekday,24453,19319,408,4725,서울특별시,마포구
11,11020,1102073,weekday,6961,5412,35,1514,서울특별시,중구
11,11220,1122067,weekday,32118,24442,1196,6480,서울특별시,서초구
11,11020,1102067,weekday,9415,7404,47,1963,서울특별시,중구
11,11250,1125065,weekday,8578,7330,54,1194,서울특별시,강동구
11,11220,1122061,weekday,10099,8093,77,1929,서울특별시,서초구
11,11240,1124054,weekday,3202,2856,10,336,서울특별시,송파구
11,11180,1118055,weekday,8797,6573,45,2178,서울특별시,금천구
11,11170,1117054,weekday,8859,6715,47,2098,서울특별시,구로구
11,11200,1120056,weekday,8022,6442,42,1539,서울특별시,동작구
11,11050,1105064,weekday,7807,6150,45,1612,서울특별시,광진구
11,11150,1115060,weekday,23986,19129,212,4645,서울특별시,양천구
11,11050,1105067,weekday,26035,20603,262,5170,서울특별시,광진구
11,11110,1111078,weekday,8467,6989,44,1434,서울특별시,노원구
11,11240,1124051,weekday,21864,16997,306,4561,서울특별시,송파구
11,11160,1116061,weekday,8983,7136,58,1788,서울특별시,강서구
11,11040,1104052,weekday,4860,3765,25,1070,서울특별시,성동구
11,11160,1116051,weekday,19468,15057,381,4030,서울특별시,강서구
11,11120,1112065,weekday,6493,5252,26,1214,서울특별시,은평구
11,11250,1125063,weekday,11918,9987,57,1874,서울특별시,강동구
11,11230,1123072,weekday,2873,2448,15,410,서울특별시,강남구
11,11130,1113076,weekday,19837,15681,194,3961,서울특별시,서대문구
11,11030,1103052,weekday,18386,14671,147,3568,서울특별시,용산구
11,11110,1111066,weekday,8903,7348,46,1509,서울특별시,노원구
11,11120,1112067,weekday,12594,10143,81,2369,서울특별시,은평구
11,11060,1106089,weekday,8126,6111,39,1975,서울특별시,동대문구
11,11060,1106091,weekday,10063,7716,68,2278,서울특별시,동대문구
11,11230,1123079,weekday,21209,17172,295,3742,서울특별시,강남구
11,11060,1106072,weekday,14061,10821,87,3153,서울특별시,동대문구
11,11240,1124056,weekday,6065,5402,23,640,서울특별시,송파구
11,11240,1124077,weekday,21165,16671,271,4222,서울특별시,송파구
11,11040,1104062,weekday,27151,21486,274,5391,서울특별시,성동구
11,11160,1116063,weekday,14379,11253,104,3021,서울특별시,강서구
11,11030,1103053,weekday,15310,12105,87,3118,서울특별시,용산구
11,11010,1101072,weekday,5879,4643,26,1210,서울특별시,종로구
11,11060,1106088,weekday,10242,7910,70,2262,서울특별시,동대문구
11,11200,1120069,weekday,13619,10545,75,3000,서울특별시,동작구
11,11110,1111059,weekday,18104,14595,132,3377,서울특별시,노원구
11,11230,1123067,weekday,10862,9075,82,1705,서울특별시,강남구
11,11170,1117069,weekday,7396,5916,42,1438,서울특별시,구로구
11,11090,1109062,weekday,11047,9312,44,1691,서울특별시,강북구
11,11070,1107069,weekday,12868,9955,193,2721,서울특별시,중랑구
11,11090,1109064,weekday,9128,7780,22,1326,서울특별시,강북구
11,11090,1109072,weekday,7708,6600,20,1087,서울특별시,강북구
11,11080,1108081,weekday,5002,3937,21,1044,서울특별시,성북구
11,11200,1120066,weekday,3888,3130,18,740,서울특별시,동작구
11,11020,1102060,weekday,12447,9580,72,2795,서울특별시,중구
11,11130,1113064,weekday,18903,14862,130,3911,서울특별시,서대문구
11,11190,1119065,weekday,8055,6230,40,1785,서울특별시,영등포구
11,11180,1118059,weekday,23383,18082,187,5114,서울특별시,금천구
11,11080,1108084,weekday,12178,9725,65,2388,서울특별시,성북구
11,11040,1104066,weekday,25463,20083,391,4988,서울특별시,성동구
11,11250,1125074,weekday,12665,10701,69,1895,서울특별시,강동구
11,11170,1117064,weekday,14777,11291,108,3378,서울특별시,구로구
11,11240,1124058,weekday,11316,9769,60,1487,서울특별시,송파구
11,11200,1120054,weekday,5640,4515,27,1098,서울특별시,동작구
11,11240,1124081,weekday,19051,15493,447,3111,서울특별시,송파구
11,11220,1122051,weekday,22433,17635,531,4267,서울특별시,서초구
11,11030,1103071,weekday,8650,6529,48,2073,서울특별시,용산구
11,11190,1119076,weekday,10490,8224,77,2189,서울특별시,영등포구
11,11110,1111077,weekday,15047,12098,124,2824,서울특별시,노원구
11,11240,1124063,weekday,6395,5610,34,752,서울특별시,송파구
11,11250,1125058,weekday,26225,19700,536,5989,서울특별시,강동구
11,11210,1121069,weekday,20057,15749,124,4184,서울특별시,관악구
11,11140,1114078,weekday,8175,6413,52,1710,서울특별시,마포구
11,11050,1105054,weekday,14828,11533,127,3168,서울특별시,광진구
11,11010,1101053,weekday,10560,8338,61,2162,서울특별시,종로구
11,11150,1115069,weekday,11475,8696,88,2692,서울특별시,양천구
11,11040,1104055,weekday,12860,10050,101,2709,서울특별시,성동구
11,11200,1120053,weekday,12363,9964,67,2331,서울특별시,동작구
11,11190,1119069,weekday,13322,10448,79,2794,서울특별시,영등포구
11,11210,1121082,weekday,8639,6912,49,1678,서울특별시,관악구
11,11210,1121073,weekday,10491,8319,57,2115,서울특별시,관악구
11,11200,1120072,weekday,21495,17199,225,4070,서울특별시,동작구
11,11050,1105065,weekday,25040,19189,421,5430,서울특별시,광진구
11,11130,1113074,weekday,7432,5725,46,1661,서울특별시,서대문구
11,11020,1102058,weekday,16813,13429,102,3283,서울특별시,중구
